#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.130457 -0.355356 -999 -999 -999
-999 -999 -999 0.143811 -0.369371 -999 -999 -999
-999 -999 -999 0.204931 -0.380649 -999 -999 -999
-999 -999 -999 0.219825 -0.366094 -999 -999 -999
-999 -999 -999 0.238829 -0.373402 -999 -999 -999
-999 -999 -999 0.299949 -0.390629 -999 -999 -999
-999 -999 -999 0.417565 -0.435242 -999 -999 -999
-999 -999 -999 0.411402 -0.435238 -999 -999 -999
-999 -999 -999 0.389317 -0.427167 -999 -999 -999
-999 -999 -999 0.339497 -0.408433 -999 -999 -999
-999 -999 -999 0.523883 -0.479614 -999 -999 -999
-999 -999 -999 0.491525 -0.458943 -999 -999 -999
-999 -999 -999 0.429379 -0.439340 -999 -999 -999
-999 -999 -999 0.601952 -0.477560 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=1.433600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.141021 -999 -999 -999
-999 -999 -999 0.989728 -0.280104 -999 -999 -999
-999 -999 -999 0.987160 -0.315428 -999 -999 -999
-999 -999 -999 0.609142 -0.484493 -999 -999 -999
-999 -999 -999 0.604006 -0.482641 -999 -999 -999
-999 -999 -999 0.740627 -0.530293 -999 -999 -999
-999 -999 -999 0.702106 -0.521001 -999 -999 -999
-999 -999 -999 0.821263 -0.538571 -999 -999 -999
-999 -999 -999 0.824345 -0.538837 -999 -999 -999
-999 -999 -999 0.000514 0.353527 -999 -999 -999
-999 -999 -999 0.000000 0.363672 -999 -999 -999
-999 -999 -999 0.002054 0.305927 -999 -999 -999
-999 -999 -999 0.985619 -0.321462 -999 -999 -999
-999 -999 -999 0.969697 -0.391946 -999 -999 -999
-999 -999 -999 0.951721 -0.442926 -999 -999 -999
-999 -999 -999 0.943503 -0.474473 -999 -999 -999
-999 -999 -999 0.918850 -0.500221 -999 -999 -999
-999 -999 -999 0.899846 -0.522706 -999 -999 -999
-999 -999 -999 0.887006 -0.531761 -999 -999 -999
-999 -999 -999 0.826913 -0.538484 -999 -999 -999
-999 -999 -999 0.006163 0.098309 -999 -999 -999
-999 -999 -999 0.006163 0.091927 -999 -999 -999
-999 -999 -999 0.006677 0.084072 -999 -999 -999
-999 -999 -999 0.011813 -0.032001 -999 -999 -999
-999 -999 -999 0.015408 -0.066582 -999 -999 -999
-999 -999 -999 0.017976 -0.105073 -999 -999 -999
-999 -999 -999 0.022085 -0.162510 -999 -999 -999
-999 -999 -999 0.037494 -0.207008 -999 -999 -999
-999 -999 -999 0.042116 -0.219270 -999 -999 -999
-999 -999 -999 0.046739 -0.241639 -999 -999 -999
-999 -999 -999 0.082178 -0.292228 -999 -999 -999
-999 -999 -999 0.087314 -0.306073 -999 -999 -999
-999 -999 -999 0.130457 -0.359808 -999 -999 -999
-999 -999 -999 0.143811 -0.367390 -999 -999 -999
-999 -999 -999 0.204931 -0.382397 -999 -999 -999
-999 -999 -999 0.219825 -0.374033 -999 -999 -999
-999 -999 -999 0.238829 -0.380891 -999 -999 -999
-999 -999 -999 0.299949 -0.398595 -999 -999 -999
-999 -999 -999 0.417565 -0.447202 -999 -999 -999
-999 -999 -999 0.411402 -0.448108 -999 -999 -999
-999 -999 -999 0.389317 -0.439171 -999 -999 -999
-999 -999 -999 0.339497 -0.420197 -999 -999 -999
-999 -999 -999 0.523883 -0.488919 -999 -999 -999
-999 -999 -999 0.491525 -0.466844 -999 -999 -999
-999 -999 -999 0.429379 -0.451541 -999 -999 -999
-999 -999 -999 0.601952 -0.483588 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=1.638400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.113206 -999 -999 -999
-999 -999 -999 0.989728 -0.249988 -999 -999 -999
-999 -999 -999 0.987160 -0.284477 -999 -999 -999
-999 -999 -999 0.609142 -0.492808 -999 -999 -999
-999 -999 -999 0.604006 -0.491137 -999 -999 -999
-999 -999 -999 0.740627 -0.533106 -999 -999 -999
-999 -999 -999 0.702106 -0.530872 -999 -999 -999
-999 -999 -999 0.821263 -0.539519 -999 -999 -999
-999 -999 -999 0.824345 -0.539672 -999 -999 -999
-999 -999 -999 0.000514 0.351357 -999 -999 -999
-999 -999 -999 0.000000 0.361557 -999 -999 -999
-999 -999 -999 0.002054 0.299357 -999 -999 -999
-999 -999 -999 0.985619 -0.290781 -999 -999 -999
-999 -999 -999 0.969697 -0.361394 -999 -999 -999
-999 -999 -999 0.951721 -0.416388 -999 -999 -999
-999 -999 -999 0.943503 -0.450432 -999 -999 -999
-999 -999 -999 0.918850 -0.481775 -999 -999 -999
-999 -999 -999 0.899846 -0.508030 -999 -999 -999
-999 -999 -999 0.887006 -0.518370 -999 -999 -999
-999 -999 -999 0.826913 -0.538763 -999 -999 -999
-999 -999 -999 0.006163 0.090194 -999 -999 -999
-999 -999 -999 0.006163 0.083975 -999 -999 -999
-999 -999 -999 0.006677 0.075939 -999 -999 -999
-999 -999 -999 0.011813 -0.040061 -999 -999 -999
-999 -999 -999 0.015408 -0.074388 -999 -999 -999
-999 -999 -999 0.017976 -0.113734 -999 -999 -999
-999 -999 -999 0.022085 -0.175785 -999 -999 -999
-999 -999 -999 0.037494 -0.218934 -999 -999 -999
-999 -999 -999 0.042116 -0.231119 -999 -999 -999
-999 -999 -999 0.046739 -0.252105 -999 -999 -999
-999 -999 -999 0.082178 -0.298755 -999 -999 -999
-999 -999 -999 0.087314 -0.312021 -999 -999 -999
-999 -999 -999 0.130457 -0.366423 -999 -999 -999
-999 -999 -999 0.143811 -0.373610 -999 -999 -999
-999 -999 -999 0.204931 -0.381181 -999 -999 -999
-999 -999 -999 0.219825 -0.371205 -999 -999 -999
-999 -999 -999 0.238829 -0.377126 -999 -999 -999
-999 -999 -999 0.299949 -0.400826 -999 -999 -999
-999 -999 -999 0.417565 -0.460679 -999 -999 -999
-999 -999 -999 0.411402 -0.462399 -999 -999 -999
-999 -999 -999 0.389317 -0.450001 -999 -999 -999
-999 -999 -999 0.339497 -0.425397 -999 -999 -999
-999 -999 -999 0.523883 -0.500623 -999 -999 -999
-999 -999 -999 0.491525 -0.477712 -999 -999 -999
-999 -999 -999 0.429379 -0.465515 -999 -999 -999
-999 -999 -999 0.601952 -0.492061 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=1.843200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.083317 -999 -999 -999
-999 -999 -999 0.989728 -0.221510 -999 -999 -999
-999 -999 -999 0.987160 -0.255990 -999 -999 -999
-999 -999 -999 0.609142 -0.492968 -999 -999 -999
-999 -999 -999 0.604006 -0.490735 -999 -999 -999
-999 -999 -999 0.740627 -0.547450 -999 -999 -999
-999 -999 -999 0.702106 -0.551117 -999 -999 -999
-999 -999 -999 0.821263 -0.550212 -999 -999 -999
-999 -999 -999 0.824345 -0.549941 -999 -999 -999
-999 -999 -999 0.000514 0.350483 -999 -999 -999
-999 -999 -999 0.000000 0.360956 -999 -999 -999
-999 -999 -999 0.002054 0.293465 -999 -999 -999
-999 -999 -999 0.985619 -0.262619 -999 -999 -999
-999 -999 -999 0.969697 -0.328943 -999 -999 -999
-999 -999 -999 0.951721 -0.385273 -999 -999 -999
-999 -999 -999 0.943503 -0.421515 -999 -999 -999
-999 -999 -999 0.918850 -0.462495 -999 -999 -999
-999 -999 -999 0.899846 -0.496243 -999 -999 -999
-999 -999 -999 0.887006 -0.509203 -999 -999 -999
-999 -999 -999 0.826913 -0.548293 -999 -999 -999
-999 -999 -999 0.006163 0.078519 -999 -999 -999
-999 -999 -999 0.006163 0.072392 -999 -999 -999
-999 -999 -999 0.006677 0.064265 -999 -999 -999
-999 -999 -999 0.011813 -0.048444 -999 -999 -999
-999 -999 -999 0.015408 -0.074535 -999 -999 -999
-999 -999 -999 0.017976 -0.110572 -999 -999 -999
-999 -999 -999 0.022085 -0.180786 -999 -999 -999
-999 -999 -999 0.037494 -0.223586 -999 -999 -999
-999 -999 -999 0.042116 -0.236023 -999 -999 -999
-999 -999 -999 0.046739 -0.256693 -999 -999 -999
-999 -999 -999 0.082178 -0.299203 -999 -999 -999
-999 -999 -999 0.087314 -0.314308 -999 -999 -999
-999 -999 -999 0.130457 -0.380530 -999 -999 -999
-999 -999 -999 0.143811 -0.391081 -999 -999 -999
-999 -999 -999 0.204931 -0.392421 -999 -999 -999
-999 -999 -999 0.219825 -0.377475 -999 -999 -999
-999 -999 -999 0.238829 -0.383168 -999 -999 -999
-999 -999 -999 0.299949 -0.409884 -999 -999 -999
-999 -999 -999 0.417565 -0.466924 -999 -999 -999
-999 -999 -999 0.411402 -0.469157 -999 -999 -999
-999 -999 -999 0.389317 -0.455153 -999 -999 -999
-999 -999 -999 0.339497 -0.429313 -999 -999 -999
-999 -999 -999 0.523883 -0.507717 -999 -999 -999
-999 -999 -999 0.491525 -0.491530 -999 -999 -999
-999 -999 -999 0.429379 -0.472913 -999 -999 -999
-999 -999 -999 0.601952 -0.490839 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=2.048000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.052573 -999 -999 -999
-999 -999 -999 0.989728 -0.190540 -999 -999 -999
-999 -999 -999 0.987160 -0.224710 -999 -999 -999
-999 -999 -999 0.609142 -0.497848 -999 -999 -999
-999 -999 -999 0.604006 -0.495219 -999 -999 -999
-999 -999 -999 0.740627 -0.561031 -999 -999 -999
-999 -999 -999 0.702106 -0.561048 -999 -999 -999
-999 -999 -999 0.821263 -0.543284 -999 -999 -999
-999 -999 -999 0.824345 -0.542388 -999 -999 -999
-999 -999 -999 0.000514 0.346572 -999 -999 -999
-999 -999 -999 0.000000 0.358300 -999 -999 -999
-999 -999 -999 0.002054 0.287009 -999 -999 -999
-999 -999 -999 0.985619 -0.231895 -999 -999 -999
-999 -999 -999 0.969697 -0.298911 -999 -999 -999
-999 -999 -999 0.951721 -0.361653 -999 -999 -999
-999 -999 -999 0.943503 -0.401300 -999 -999 -999
-999 -999 -999 0.918850 -0.444337 -999 -999 -999
-999 -999 -999 0.899846 -0.478073 -999 -999 -999
-999 -999 -999 0.887006 -0.494726 -999 -999 -999
-999 -999 -999 0.826913 -0.540173 -999 -999 -999
-999 -999 -999 0.006163 0.063754 -999 -999 -999
-999 -999 -999 0.006163 0.057463 -999 -999 -999
-999 -999 -999 0.006677 0.049518 -999 -999 -999
-999 -999 -999 0.011813 -0.056610 -999 -999 -999
-999 -999 -999 0.015408 -0.079664 -999 -999 -999
-999 -999 -999 0.017976 -0.116210 -999 -999 -999
-999 -999 -999 0.022085 -0.193015 -999 -999 -999
-999 -999 -999 0.037494 -0.226995 -999 -999 -999
-999 -999 -999 0.042116 -0.236731 -999 -999 -999
-999 -999 -999 0.046739 -0.254524 -999 -999 -999
-999 -999 -999 0.082178 -0.304926 -999 -999 -999
-999 -999 -999 0.087314 -0.322180 -999 -999 -999
-999 -999 -999 0.130457 -0.385371 -999 -999 -999
-999 -999 -999 0.143811 -0.396840 -999 -999 -999
-999 -999 -999 0.204931 -0.407868 -999 -999 -999
-999 -999 -999 0.219825 -0.391095 -999 -999 -999
-999 -999 -999 0.238829 -0.400022 -999 -999 -999
-999 -999 -999 0.299949 -0.425240 -999 -999 -999
-999 -999 -999 0.417565 -0.471357 -999 -999 -999
-999 -999 -999 0.411402 -0.474197 -999 -999 -999
-999 -999 -999 0.389317 -0.462620 -999 -999 -999
-999 -999 -999 0.339497 -0.442764 -999 -999 -999
-999 -999 -999 0.523883 -0.515977 -999 -999 -999
-999 -999 -999 0.491525 -0.504726 -999 -999 -999
-999 -999 -999 0.429379 -0.479042 -999 -999 -999
-999 -999 -999 0.601952 -0.494931 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=2.252800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.022142 -999 -999 -999
-999 -999 -999 0.989728 -0.161476 -999 -999 -999
-999 -999 -999 0.987160 -0.195563 -999 -999 -999
-999 -999 -999 0.609142 -0.499858 -999 -999 -999
-999 -999 -999 0.604006 -0.497393 -999 -999 -999
-999 -999 -999 0.740627 -0.560894 -999 -999 -999
-999 -999 -999 0.702106 -0.564811 -999 -999 -999
-999 -999 -999 0.821263 -0.534513 -999 -999 -999
-999 -999 -999 0.824345 -0.533516 -999 -999 -999
-999 -999 -999 0.000514 0.344204 -999 -999 -999
-999 -999 -999 0.000000 0.355913 -999 -999 -999
-999 -999 -999 0.002054 0.280767 -999 -999 -999
-999 -999 -999 0.985619 -0.203149 -999 -999 -999
-999 -999 -999 0.969697 -0.269498 -999 -999 -999
-999 -999 -999 0.951721 -0.333956 -999 -999 -999
-999 -999 -999 0.943503 -0.378923 -999 -999 -999
-999 -999 -999 0.918850 -0.418803 -999 -999 -999
-999 -999 -999 0.899846 -0.452969 -999 -999 -999
-999 -999 -999 0.887006 -0.473038 -999 -999 -999
-999 -999 -999 0.826913 -0.530545 -999 -999 -999
-999 -999 -999 0.006163 0.051586 -999 -999 -999
-999 -999 -999 0.006163 0.045240 -999 -999 -999
-999 -999 -999 0.006677 0.037567 -999 -999 -999
-999 -999 -999 0.011813 -0.063869 -999 -999 -999
-999 -999 -999 0.015408 -0.094993 -999 -999 -999
-999 -999 -999 0.017976 -0.134507 -999 -999 -999
-999 -999 -999 0.022085 -0.204587 -999 -999 -999
-999 -999 -999 0.037494 -0.235682 -999 -999 -999
-999 -999 -999 0.042116 -0.244256 -999 -999 -999
-999 -999 -999 0.046739 -0.256589 -999 -999 -999
-999 -999 -999 0.082178 -0.314820 -999 -999 -999
-999 -999 -999 0.087314 -0.336114 -999 -999 -999
-999 -999 -999 0.130457 -0.388629 -999 -999 -999
-999 -999 -999 0.143811 -0.401422 -999 -999 -999
-999 -999 -999 0.204931 -0.423363 -999 -999 -999
-999 -999 -999 0.219825 -0.403738 -999 -999 -999
-999 -999 -999 0.238829 -0.412789 -999 -999 -999
-999 -999 -999 0.299949 -0.436376 -999 -999 -999
-999 -999 -999 0.417565 -0.485796 -999 -999 -999
-999 -999 -999 0.411402 -0.489447 -999 -999 -999
-999 -999 -999 0.389317 -0.474536 -999 -999 -999
-999 -999 -999 0.339497 -0.450602 -999 -999 -999
-999 -999 -999 0.523883 -0.529374 -999 -999 -999
-999 -999 -999 0.491525 -0.511762 -999 -999 -999
-999 -999 -999 0.429379 -0.493074 -999 -999 -999
-999 -999 -999 0.601952 -0.497903 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=2.457600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.003205 -999 -999 -999
-999 -999 -999 0.989728 -0.131341 -999 -999 -999
-999 -999 -999 0.987160 -0.164246 -999 -999 -999
-999 -999 -999 0.609142 -0.491794 -999 -999 -999
-999 -999 -999 0.604006 -0.489194 -999 -999 -999
-999 -999 -999 0.740627 -0.559488 -999 -999 -999
-999 -999 -999 0.702106 -0.569254 -999 -999 -999
-999 -999 -999 0.821263 -0.528319 -999 -999 -999
-999 -999 -999 0.824345 -0.527244 -999 -999 -999
-999 -999 -999 0.000514 0.342477 -999 -999 -999
-999 -999 -999 0.000000 0.354277 -999 -999 -999
-999 -999 -999 0.002054 0.276205 -999 -999 -999
-999 -999 -999 0.985619 -0.171499 -999 -999 -999
-999 -999 -999 0.969697 -0.234492 -999 -999 -999
-999 -999 -999 0.951721 -0.305872 -999 -999 -999
-999 -999 -999 0.943503 -0.355375 -999 -999 -999
-999 -999 -999 0.918850 -0.394595 -999 -999 -999
-999 -999 -999 0.899846 -0.429674 -999 -999 -999
-999 -999 -999 0.887006 -0.451641 -999 -999 -999
-999 -999 -999 0.826913 -0.523417 -999 -999 -999
-999 -999 -999 0.006163 0.037805 -999 -999 -999
-999 -999 -999 0.006163 0.031150 -999 -999 -999
-999 -999 -999 0.006677 0.024841 -999 -999 -999
-999 -999 -999 0.011813 -0.064577 -999 -999 -999
-999 -999 -999 0.015408 -0.104863 -999 -999 -999
-999 -999 -999 0.017976 -0.153815 -999 -999 -999
-999 -999 -999 0.022085 -0.215975 -999 -999 -999
-999 -999 -999 0.037494 -0.246394 -999 -999 -999
-999 -999 -999 0.042116 -0.253939 -999 -999 -999
-999 -999 -999 0.046739 -0.266148 -999 -999 -999
-999 -999 -999 0.082178 -0.318228 -999 -999 -999
-999 -999 -999 0.087314 -0.339934 -999 -999 -999
-999 -999 -999 0.130457 -0.403815 -999 -999 -999
-999 -999 -999 0.143811 -0.421819 -999 -999 -999
-999 -999 -999 0.204931 -0.443839 -999 -999 -999
-999 -999 -999 0.219825 -0.418568 -999 -999 -999
-999 -999 -999 0.238829 -0.428843 -999 -999 -999
-999 -999 -999 0.299949 -0.450761 -999 -999 -999
-999 -999 -999 0.417565 -0.497035 -999 -999 -999
-999 -999 -999 0.411402 -0.500990 -999 -999 -999
-999 -999 -999 0.389317 -0.488054 -999 -999 -999
-999 -999 -999 0.339497 -0.467615 -999 -999 -999
-999 -999 -999 0.523883 -0.542497 -999 -999 -999
-999 -999 -999 0.491525 -0.521430 -999 -999 -999
-999 -999 -999 0.429379 -0.504146 -999 -999 -999
-999 -999 -999 0.601952 -0.489232 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=2.662400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.026183 -999 -999 -999
-999 -999 -999 0.989728 -0.110635 -999 -999 -999
-999 -999 -999 0.987160 -0.144006 -999 -999 -999
-999 -999 -999 0.609142 -0.496804 -999 -999 -999
-999 -999 -999 0.604006 -0.494648 -999 -999 -999
-999 -999 -999 0.740627 -0.549008 -999 -999 -999
-999 -999 -999 0.702106 -0.565040 -999 -999 -999
-999 -999 -999 0.821263 -0.508948 -999 -999 -999
-999 -999 -999 0.824345 -0.507835 -999 -999 -999
-999 -999 -999 0.000514 0.353020 -999 -999 -999
-999 -999 -999 0.000000 0.366565 -999 -999 -999
-999 -999 -999 0.002054 0.275765 -999 -999 -999
-999 -999 -999 0.985619 -0.150915 -999 -999 -999
-999 -999 -999 0.969697 -0.210240 -999 -999 -999
-999 -999 -999 0.951721 -0.280380 -999 -999 -999
-999 -999 -999 0.943503 -0.331360 -999 -999 -999
-999 -999 -999 0.918850 -0.370133 -999 -999 -999
-999 -999 -999 0.899846 -0.406982 -999 -999 -999
-999 -999 -999 0.887006 -0.429188 -999 -999 -999
-999 -999 -999 0.826913 -0.503639 -999 -999 -999
-999 -999 -999 0.006163 0.030347 -999 -999 -999
-999 -999 -999 0.006163 0.023529 -999 -999 -999
-999 -999 -999 0.006677 0.016456 -999 -999 -999
-999 -999 -999 0.011813 -0.077660 -999 -999 -999
-999 -999 -999 0.015408 -0.120855 -999 -999 -999
-999 -999 -999 0.017976 -0.168340 -999 -999 -999
-999 -999 -999 0.022085 -0.227840 -999 -999 -999
-999 -999 -999 0.037494 -0.256168 -999 -999 -999
-999 -999 -999 0.042116 -0.263106 -999 -999 -999
-999 -999 -999 0.046739 -0.271622 -999 -999 -999
-999 -999 -999 0.082178 -0.324179 -999 -999 -999
-999 -999 -999 0.087314 -0.349406 -999 -999 -999
-999 -999 -999 0.130457 -0.415477 -999 -999 -999
-999 -999 -999 0.143811 -0.437455 -999 -999 -999
-999 -999 -999 0.204931 -0.464790 -999 -999 -999
-999 -999 -999 0.219825 -0.432644 -999 -999 -999
-999 -999 -999 0.238829 -0.446255 -999 -999 -999
-999 -999 -999 0.299949 -0.469322 -999 -999 -999
-999 -999 -999 0.417565 -0.512080 -999 -999 -999
-999 -999 -999 0.411402 -0.514742 -999 -999 -999
-999 -999 -999 0.389317 -0.501664 -999 -999 -999
-999 -999 -999 0.339497 -0.480973 -999 -999 -999
-999 -999 -999 0.523883 -0.552233 -999 -999 -999
-999 -999 -999 0.491525 -0.533780 -999 -999 -999
-999 -999 -999 0.429379 -0.516642 -999 -999 -999
-999 -999 -999 0.601952 -0.494868 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=2.867200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.046301 -999 -999 -999
-999 -999 -999 0.989728 -0.087226 -999 -999 -999
-999 -999 -999 0.987160 -0.120330 -999 -999 -999
-999 -999 -999 0.609142 -0.487508 -999 -999 -999
-999 -999 -999 0.604006 -0.485942 -999 -999 -999
-999 -999 -999 0.740627 -0.523855 -999 -999 -999
-999 -999 -999 0.702106 -0.552439 -999 -999 -999
-999 -999 -999 0.821263 -0.489775 -999 -999 -999
-999 -999 -999 0.824345 -0.488900 -999 -999 -999
-999 -999 -999 0.000514 0.363883 -999 -999 -999
-999 -999 -999 0.000000 0.379283 -999 -999 -999
-999 -999 -999 0.002054 0.273701 -999 -999 -999
-999 -999 -999 0.985619 -0.126806 -999 -999 -999
-999 -999 -999 0.969697 -0.176233 -999 -999 -999
-999 -999 -999 0.951721 -0.253557 -999 -999 -999
-999 -999 -999 0.943503 -0.308888 -999 -999 -999
-999 -999 -999 0.918850 -0.345871 -999 -999 -999
-999 -999 -999 0.899846 -0.379966 -999 -999 -999
-999 -999 -999 0.887006 -0.404155 -999 -999 -999
-999 -999 -999 0.826913 -0.484351 -999 -999 -999
-999 -999 -999 0.006163 0.015278 -999 -999 -999
-999 -999 -999 0.006163 0.008534 -999 -999 -999
-999 -999 -999 0.006677 0.001207 -999 -999 -999
-999 -999 -999 0.011813 -0.086559 -999 -999 -999
-999 -999 -999 0.015408 -0.139486 -999 -999 -999
-999 -999 -999 0.017976 -0.189093 -999 -999 -999
-999 -999 -999 0.022085 -0.243420 -999 -999 -999
-999 -999 -999 0.037494 -0.263453 -999 -999 -999
-999 -999 -999 0.042116 -0.268233 -999 -999 -999
-999 -999 -999 0.046739 -0.272728 -999 -999 -999
-999 -999 -999 0.082178 -0.335937 -999 -999 -999
-999 -999 -999 0.087314 -0.364431 -999 -999 -999
-999 -999 -999 0.130457 -0.432070 -999 -999 -999
-999 -999 -999 0.143811 -0.457015 -999 -999 -999
-999 -999 -999 0.204931 -0.485048 -999 -999 -999
-999 -999 -999 0.219825 -0.449059 -999 -999 -999
-999 -999 -999 0.238829 -0.465144 -999 -999 -999
-999 -999 -999 0.299949 -0.487357 -999 -999 -999
-999 -999 -999 0.417565 -0.539884 -999 -999 -999
-999 -999 -999 0.411402 -0.542844 -999 -999 -999
-999 -999 -999 0.389317 -0.524728 -999 -999 -999
-999 -999 -999 0.339497 -0.492873 -999 -999 -999
-999 -999 -999 0.523883 -0.556724 -999 -999 -999
-999 -999 -999 0.491525 -0.546160 -999 -999 -999
-999 -999 -999 0.429379 -0.543842 -999 -999 -999
-999 -999 -999 0.601952 -0.486297 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=3.072000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.066938 -999 -999 -999
-999 -999 -999 0.989728 -0.065044 -999 -999 -999
-999 -999 -999 0.987160 -0.097911 -999 -999 -999
-999 -999 -999 0.609142 -0.466580 -999 -999 -999
-999 -999 -999 0.604006 -0.465648 -999 -999 -999
-999 -999 -999 0.740627 -0.487995 -999 -999 -999
-999 -999 -999 0.702106 -0.537829 -999 -999 -999
-999 -999 -999 0.821263 -0.465788 -999 -999 -999
-999 -999 -999 0.824345 -0.465511 -999 -999 -999
-999 -999 -999 0.000514 0.357956 -999 -999 -999
-999 -999 -999 0.000000 0.374320 -999 -999 -999
-999 -999 -999 0.002054 0.262574 -999 -999 -999
-999 -999 -999 0.985619 -0.103515 -999 -999 -999
-999 -999 -999 0.969697 -0.142699 -999 -999 -999
-999 -999 -999 0.951721 -0.221197 -999 -999 -999
-999 -999 -999 0.943503 -0.277684 -999 -999 -999
-999 -999 -999 0.918850 -0.316349 -999 -999 -999
-999 -999 -999 0.899846 -0.353546 -999 -999 -999
-999 -999 -999 0.887006 -0.378057 -999 -999 -999
-999 -999 -999 0.826913 -0.460771 -999 -999 -999
-999 -999 -999 0.006163 0.008078 -999 -999 -999
-999 -999 -999 0.006163 0.001716 -999 -999 -999
-999 -999 -999 0.006677 -0.007451 -999 -999 -999
-999 -999 -999 0.011813 -0.123179 -999 -999 -999
-999 -999 -999 0.015408 -0.163139 -999 -999 -999
-999 -999 -999 0.017976 -0.205019 -999 -999 -999
-999 -999 -999 0.022085 -0.253166 -999 -999 -999
-999 -999 -999 0.037494 -0.272635 -999 -999 -999
-999 -999 -999 0.042116 -0.278208 -999 -999 -999
-999 -999 -999 0.046739 -0.277424 -999 -999 -999
-999 -999 -999 0.082178 -0.362339 -999 -999 -999
-999 -999 -999 0.087314 -0.393653 -999 -999 -999
-999 -999 -999 0.130457 -0.449693 -999 -999 -999
-999 -999 -999 0.143811 -0.478835 -999 -999 -999
